,pelvis_tilt,pelvis_list,pelvis_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r
0,-0.20993785424465083,-0.13981003145145093,-2.7048737042205664,0.003107116347700717,-0.01486538830971871,-0.25966113153657167,0.0006984511866771581
1,-0.20987661343166159,-0.13980767927814614,-2.704807460043687,0.0031143299566910483,-0.014870062434762155,-0.25989721437508645,0.000697040809909243
2,-0.20992297728809908,-0.13981790889178022,-2.7047669890691868,0.0031677828855522687,-0.014910606127534481,-0.26018312931455634,0.0007411324112735921
3,-0.2099023730776485,-0.13981111229654936,-2.7049096501911096,0.0031668378979740675,-0.01492056565914448,-0.26031423163260964,0.0007356346982190558
4,-0.20991241694107146,-0.1398069253476127,-2.7049121638593623,0.003174818678030216,-0.014922716638902368,-0.26036798670600236,0.0007416809401927783
5,-0.20991241694107146,-0.1398069253476127,-2.7049121638593623,0.003174818678030216,-0.014922716638902368,-0.26036798670600236,0.0007416809401927783
6,-0.20990322610515968,-0.13979806640501574,-2.7049648061770117,0.003137681803095664,-0.014937685178666522,-0.26041216488721247,0.0007034090620627667
7,-0.20995939428405738,-0.13981441354888022,-2.7049912508113043,0.00317358431310833,-0.014952477777408,-0.26045346237834643,0.0007382299347717897
8,-0.2099274252381553,-0.13981995721686458,-2.7049548001033554,0.003127311547954347,-0.014955878103824868,-0.26043090601478946,0.0006929371163108696
9,-0.2099274252381553,-0.13981995721686458,-2.7049548001033554,0.003127311547954347,-0.014955878103824868,-0.26043090601478946,0.0006929371163108696
10,-0.209937766508562,-0.13986695091892745,-2.7049914289274133,0.0031084864647980457,-0.014936669324998555,-0.26050044464456296,0.0006709156330572333
11,-0.21001698394321566,-0.13993674449747884,-2.7048869309568797,0.0030871971799435517,-0.014936240302910093,-0.26048709520226704,0.000650122899616969
12,-0.21001698394321566,-0.13993674449747884,-2.7048869309568797,0.0030871971799435517,-0.014936240302910093,-0.26048709520226704,0.000650122899616969
13,-0.21001698394321566,-0.13993674449747884,-2.7048869309568797,0.0030871971799435517,-0.014936240302910093,-0.26048709520226704,0.000650122899616969
14,-0.21001118937649943,-0.1399008149415553,-2.7048643305704223,0.003072255665389358,-0.01495119419771446,-0.2604490114655945,0.0006370922606128717
15,-0.210073451868494,-0.13984046827708893,-2.7049266742151294,0.003069263394693033,-0.014972611271225865,-0.2609372767192153,0.0006166168303229664
16,-0.21004061786302056,-0.13987666950746355,-2.7049436507175777,0.0030828935308458948,-0.015016232576050833,-0.26125819967155495,0.0006197253105686347
17,-0.21004061786302056,-0.13987666950746355,-2.7049436507175777,0.0030828935308458948,-0.015016232576050833,-0.26125819967155495,0.0006197253105686347
18,-0.20989335805710235,-0.13979517671323707,-2.7048079005333534,0.0031194495368710774,-0.014947106248024866,-0.2607079583264128,0.0006744814897904091
19,-0.20990350858281506,-0.13978252567752938,-2.7047427270715287,0.0031074577192399563,-0.014948144688438634,-0.2606091144584963,0.0006662092291224366
20,-0.20990182050858716,-0.13975730165739242,-2.704793425028974,0.0030326558853575464,-0.014899413348191205,-0.26032950771658026,0.0006002757873228878
21,-0.20990182050858716,-0.13975730165739242,-2.704793425028974,0.0030326558853575464,-0.014899413348191205,-0.26032950771658026,0.0006002757873228878
22,-0.20991289316766393,-0.13971620602574839,-2.704878273052341,0.0030854549287508788,-0.014902299019421793,-0.2603398282812567,0.0006527496821052605
23,-0.20989656008845944,-0.1397499390168033,-2.704728120869232,0.0030487098558115615,-0.01488314128948805,-0.26017176153284843,0.0006216558697139136
24,-0.2098634305240351,-0.13978046779611902,-2.7046866878849087,0.0030114306815125697,-0.01487069796825851,-0.26008084458802205,0.0005873782488169868
25,-0.20983849406234065,-0.13978526056834437,-2.704849200395545,0.0029959951790053253,-0.014874947318340829,-0.26021480575804573,0.0005671148074487885
26,-0.20986649781219105,-0.13978960988050695,-2.704905143627336,0.0030039305054825978,-0.014887780540565146,-0.2603096402500828,0.0005719357256389221
27,-0.20986649781219105,-0.13978960988050695,-2.704905143627336,0.0030039305054825978,-0.014887780540565146,-0.2603096402500828,0.0005719357256389221
28,-0.20990387458505239,-0.13978155987213506,-2.7047500121008983,0.0030142003291961732,-0.014895062685296582,-0.26017516795177403,0.0005874286086434085
29,-0.20989537527284613,-0.13980223578801138,-2.7046990317451756,0.003002887054209249,-0.014871610749085192,-0.2600723167084338,0.0005791913680989183
30,-0.20989537527284613,-0.13980223578801138,-2.7046990317451756,0.003002887054209249,-0.014871610749085192,-0.2600723167084338,0.0005791913680989183
31,-0.20996060767298083,-0.1397622984371844,-2.704929220234967,0.003000110936569928,-0.014898657620947435,-0.2604826911854064,0.0005620408830411287
32,-0.2099132975970587,-0.1397965547778766,-2.7047611185661347,0.0029865177997815337,-0.01495562525658451,-0.26089641987765916,0.0005349297666505344
33,-0.2099132975970587,-0.1397965547778766,-2.7047611185661347,0.0029865177997815337,-0.01495562525658451,-0.26089641987765916,0.0005349297666505344
34,-0.2099329009835485,-0.139821568259738,-2.7048128426625624,0.0030576622869808692,-0.014966582936456535,-0.26131714103848475,0.0005907195671957719
35,-0.20993776765348773,-0.139787521961618,-2.7048639213430192,0.0030606845973367683,-0.015009109084619625,-0.2615539175211096,0.0005863373544767149
36,-0.20994049277894236,-0.1397871408828867,-2.704793187145172,0.003051271751461112,-0.014994638552014564,-0.2614828021245049,0.0005790970816752276
37,-0.21000649031040153,-0.13980038375705878,-2.7048797534235702,0.0030487641661773035,-0.01498734645765233,-0.26147543382799615,0.000576622220998699
38,-0.2101404972459194,-0.13978474720114661,-2.705054357067661,0.0029722485170308815,-0.014885424959515305,-0.26105447435556955,0.000512435372687868
39,-0.2101241454922329,-0.13978219452758467,-2.7049708163472825,0.0029515706221094153,-0.014882471907025777,-0.26097851014129825,0.0004944958048003162
